Track,Artist
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
White Room,Cream
Crossroads - Live,Cream
All Along the Watchtower,Jimi Hendrix
Proud Mary,Creedence Clearwater Revival
Honky Tonk Woman - Live,The Rolling Stones
American Woman,The Guess Who
Roadhouse Blues,The Doors
Get Back - Remastered 2009,The Beatles
Brown Sugar - Remastered 2009,The Rolling Stones
Rock and Roll - Remaster,Led Zeppelin
Get It On,T. Rex
La Grange (2005 Remaster),ZZ Top
The Joker,Steve Miller Band
Sweet Home Alabama,Lynyrd Skynyrd
Tush (2006 Remaster),ZZ Top
Walk This Way,Aerosmith
Life in the Fast Lane - 2013 Remaster,Eagles
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC
Dirty Deeds Done Dirt Cheap,AC/DC
The Boys Are Back In Town,Thin Lizzy
April Sun in Cuba,Dragon
Heroes - 2017 Remaster,David Bowie
Blue Lady,Hello Sailor
Are You Old Enough,Dragon
Just What I Needed,The Cars
Good Times Roll,The Cars
Be Mine Tonight,Th' Dudes
Crazy Little Thing Called Love - Remastered 2011,Queen
Bliss,Th' Dudes
You Shook Me All Night Long,AC/DC
Start Me Up - Remastered 2009,The Rolling Stones
Centrefold(As Made Famous By J. Geils Band),The Karaoke Crew
White Wedding - Pt. 1,Billy Idol
Should I Stay or Should I Go - Remastered,The Clash
Gimme All Your Lovin',ZZ Top
Rebel Yell,Billy Idol
Run To You,Bryan Adams
Rain,Dragon
Pride (In The Name Of Love) - Remastered 2009,U2
Whaling,DD Smash
Dancing In the Dark,Bruce Springsteen
Jump - 2015 Remaster,Van Halen
Addicted To Love,Robert Palmer
Wanted Dead Or Alive,Bon Jovi
Wild Flower,The Cult
Sweet Child O' Mine,Guns N' Roses
Love Removal Machine,The Cult
Fire Woman,The Cult
Free Fallin',Tom Petty
Hard To Handle,The Black Crowes
Come As You Are,Nirvana
Mustang Sally,The Commitments
Under the Bridge,Red Hot Chili Peppers
Creep,Radiohead
Why Does Love Do This To Me,The Exponents
Who Loves Who The Most,The Exponents
Are You Gonna Go My Way,Lenny Kravitz
Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Interstate Love Song - 2019 Remaster,Stone Temple Pilots
Say It Ain't So - Original Mix,Weezer
Santa Monica,Everclear
Santeria,Sublime
Song 2 - 2012 Remaster,Blur
Everlong,Foo Fighters
Place Your Hands,Reef
Hash Pipe,Weezer
No One Knows,Queens of the Stone Age
Like a Stone,Audioslave
Are You Gonna Be My Girl,Jet
Molly's Chambers,Kings of Leon
Seven Nation Army,The White Stripes
Slither,Velvet Revolver
Dani California,Red Hot Chili Peppers
Lonely Boy,The Black Keys
